+-----+----------+----------+---------------------+-----------+------------+-----------------------------------------------------------------------------------------------------------------+-----------------------+-----------+----------+
|     | Column 1 | Column 2 |      Column 3       | Column 4  |  Column 5  |                                                    Column 6                                                     |       Column 7        | Column 8  | Column 9 |
| 29  |          |    29    | 2024-09-03 12:49:48 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347988908-999 |  Pending  | Pending  |
| 30  |          |    30    | 2024-09-03 12:44:24 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347664919-245 |  Pending  | Pending  |
| 31  |          |    31    | 2024-09-03 12:39:54 | 2024-2025 |  ₹ 384.75  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347394572-137 |  Pending  | Pending  |
| 32  |          |    32    | 2024-09-03 12:39:29 | 2024-2025 |  ₹ 384.75  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347369101-766 |  Pending  | Pending  |
| 33  |          |    33    | 2024-09-03 12:39:15 | 2024-2025 |  ₹ 384.75  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347355515-863 |  Pending  | Pending  |
| 34  |          |    34    | 2024-09-03 12:39:05 | 2024-2025 |  ₹ 384.75  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347345382-687 |  Pending  | Pending  |
| 35  |          |    35    | 2024-09-03 12:38:45 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347325864-287 |  Pending  | Pending  |
| 36  |          |    36    | 2024-09-03 12:33:26 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725347006467-93  |  Pending  | Pending  |
| 37  |          |    37    | 2024-09-03 12:30:38 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725346838851-502 |  Pending  | Pending  |
| 38  |          |    38    | 2024-09-03 12:27:03 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725346623477-680 |  Pending  | Pending  |
| 39  |          |    39    | 2024-09-03 12:18:39 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725346119117-711 |  Pending  | Pending  |
| 40  |          |    40    | 2024-09-03 12:02:13 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725345133083-804 |  Pending  | Pending  |
| 41  |          |    41    | 2024-09-03 11:53:14 | 2024-2025 |  ₹ 769.5   | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725344594170-816 |  Pending  | Pending  |
| 42  |          |    42    | 2024-09-03 11:38:28 | 2024-2025 | ₹ 1923.75  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725343708878-702 |  Pending  | Pending  |
| 43  |          |    43    | 2024-09-03 10:16:07 | 2024-2025 | ₹ 1154.25  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725338767927-966 |  Pending  | Pending  |
| 44  |          |    44    | 2024-09-02 18:39:34 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725282574075-704 |  Pending  | Pending  |
| 45  |          |    45    | 2024-09-02 16:30:23 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725274823550-798 |  Pending  | Pending  |
| 46  |          |    46    | 2024-09-02 16:21:50 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725274310825-374 |  Pending  | Pending  |
| 47  |          |    47    | 2024-09-02 16:15:20 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725273920238-793 |  Pending  | Pending  |
| 48  |          |    48    | 2024-09-02 16:08:09 | 2024-2025 | ₹ 4267.82  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725273489089-25  |  Pending  | Pending  |
| 49  |          |    49    | 2024-09-02 16:07:11 | 2024-2025 | ₹ 4267.82  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725273431237-940 |  Pending  | Pending  |
| 50  |          |    50    | 2024-09-02 16:06:42 | 2024-2025 | ₹ 4267.82  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725273401636-299 |  Pending  | Pending  |
| 51  |          |    51    | 2024-09-02 16:02:35 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725273155767-931 |  Pending  | Pending  |
| 52  |          |    52    | 2024-09-02 14:59:03 | 2024-2025 |  ₹ 193.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725269343512-462 |  Pending  | Pending  |
| 53  |          |    53    | 2024-09-02 14:57:39 | 2024-2025 |  ₹ 193.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725269259633-96  |  Pending  | Pending  |
| 54  |          |    54    | 2024-09-02 14:49:46 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268786687-75  |  Pending  | Pending  |
| 55  |          |    55    | 2024-09-02 14:49:34 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268774737-771 | Completed |  Credit  |
| 56  |          |    56    | 2024-09-02 14:48:46 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268726141-684 |  Pending  | Pending  |
| 57  |          |    57    | 2024-09-02 14:47:45 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268665267-878 | Completed |  Credit  |
| 58  |          |    58    | 2024-09-02 14:45:56 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268556228-99  |  Pending  | Pending  |
| 59  |          |    59    | 2024-09-02 14:43:19 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268399035-274 |  Pending  | Pending  |
| 60  |          |    60    | 2024-09-02 14:42:34 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268354233-484 |  Pending  | Pending  |
| 61  |          |    61    | 2024-09-02 14:39:33 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725268173600-438 |  Pending  | Pending  |
| 62  |          |    62    | 2024-09-02 14:34:40 | 2024-2025 | ₹ 1939.92  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267880656-317 | Completed |  Credit  |
| 63  |          |    63    | 2024-09-02 14:32:49 | 2024-2025 | ₹ 1163.95  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267769010-457 |  Pending  | Pending  |
| 64  |          |    64    | 2024-09-02 14:32:04 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267724882-621 |  Pending  | Pending  |
| 65  |          |    65    | 2024-09-02 14:31:31 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267691988-261 |  Pending  | Pending  |
| 66  |          |    66    | 2024-09-02 14:31:15 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267675362-785 |  Pending  | Pending  |
| 67  |          |    67    | 2024-09-02 14:31:06 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267666339-345 |  Pending  | Pending  |
| 68  |          |    68    | 2024-09-02 14:30:05 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725267605280-712 | Completed |  Credit  |
| 69  |          |    69    | 2024-09-02 14:01:47 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 |  ZOM-1725265907709-9  | Completed |  Credit  |
| 70  |          |    70    | 2024-09-02 13:26:24 | 2024-2025 |  ₹ 193.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725263784131-435 |  Pending  | Pending  |
| 71  |          |    71    | 2024-09-02 13:24:13 | 2024-2025 |  ₹ 834.97  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725263653054-503 |  Pending  | Pending  |
| 72  |          |    72    | 2024-09-02 13:23:13 | 2024-2025 |  ₹ 834.97  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725263593749-163 |  Pending  | Pending  |
| 73  |          |    73    | 2024-09-02 13:23:08 | 2024-2025 |  ₹ 834.97  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725263587887-176 |  Pending  | Pending  |
| 74  |          |    74    | 2024-09-02 13:22:53 | 2024-2025 | ₹ 8830.65  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725263573948-78  |  Pending  | Pending  |
| 75  |          |    75    | 2024-09-02 12:47:50 | 2024-2025 |  ₹ 581.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261470024-220 | Completed |  Credit  |
| 76  |          |    76    | 2024-09-02 12:45:36 | 2024-2025 |  ₹ 193.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261335890-63  | Completed |  Credit  |
| 77  |          |    77    | 2024-09-02 12:45:19 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261319698-437 |  Pending  | Pending  |
| 78  |          |    78    | 2024-09-02 12:44:55 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261295947-779 |  Pending  | Pending  |
| 79  |          |    79    | 2024-09-02 12:42:08 | 2024-2025 | ₹ 1551.94  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261128302-549 |  Pending  | Pending  |
| 80  |          |    80    | 2024-09-02 12:41:40 | 2024-2025 | ₹ 1551.94  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261100581-623 |  Pending  | Pending  |
| 81  |          |    81    | 2024-09-02 12:41:22 | 2024-2025 |  ₹ 193.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725261082583-649 | Completed |  Credit  |
| 82  |          |    82    | 2024-09-02 12:39:55 | 2024-2025 |  ₹ 387.98  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725260995307-16  | Completed |  Credit  |
| 83  |          |    83    | 2024-09-02 11:58:13 | 2024-2025 | ₹ 4655.81  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725258493717-262 |  Pending  | Pending  |
| 84  |          |    84    | 2024-09-02 11:38:36 | 2024-2025 | ₹ 4267.82  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725257316846-611 |  Pending  | Pending  |
| 85  |          |    85    | 2024-09-02 11:26:25 | 2024-2025 |  ₹ 2386.9  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725256585754-59  |  Pending  | Pending  |
| 86  |          |    86    | 2024-09-02 11:22:44 | 2024-2025 |  ₹ 2386.9  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725256364479-764 |  Pending  | Pending  |
| 87  |          |    87    | 2024-09-02 11:22:29 | 2024-2025 |  ₹ 2386.9  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725256349196-929 |  Pending  | Pending  |
| 88  |          |    88    | 2024-09-02 11:22:05 | 2024-2025 |  ₹ 2386.9  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725256325118-591 |  Pending  | Pending  |
| 89  |          |    89    | 2024-09-02 10:24:02 | 2024-2025 |  ₹ 252.99  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725252842700-796 |  Pending  | Pending  |
| 90  |          |    90    | 2024-09-02 10:21:28 | 2024-2025 | ₹ 1998.92  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725252688119-93  |  Pending  | Pending  |
| 91  |          |    91    | 2024-09-02 10:06:56 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251816375-505 |  Pending  | Pending  |
| 92  |          |    92    | 2024-09-02 10:03:14 | 2024-2025 |  ₹ 775.97  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251594098-160 |  Pending  | Pending  |
| 93  |          |    93    | 2024-09-02 09:59:49 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251389458-73  |  Pending  | Pending  |
| 94  |          |    94    | 2024-09-02 09:59:28 | 2024-2025 |    ₹ 59    | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251368770-754 |  Pending  | Pending  |
| 95  |          |    95    | 2024-09-02 09:55:54 | 2024-2025 | ₹ 1998.92  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251154887-845 |  Pending  | Pending  |
| 96  |          |    96    | 2024-09-02 09:54:59 | 2024-2025 | ₹ 1939.92  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251099788-613 |  Pending  | Pending  |
| 97  |          |    97    | 2024-09-02 09:54:48 | 2024-2025 | ₹ 1939.92  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725251087850-950 |  Pending  | Pending  |
| 98  |          |    98    | 2024-08-31 15:14:22 | 2024-2025 | ₹ 1242.35  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725097462486-153 |  Pending  | Pending  |
| 99  |          |    99    | 2024-08-31 15:12:26 | 2024-2025 | ₹ 1242.35  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725097346641-841 |  Pending  | Pending  |
| 100 |          |   100    | 2024-08-31 15:09:35 | 2024-2025 | ₹ 1242.35  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725097175943-270 |  Pending  | Pending  |
| 101 |          |   101    | 2024-08-31 14:55:08 | 2024-2025 |  ₹ 256.23  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725096307998-675 |  Pending  | Pending  |
| 102 |          |   102    | 2024-08-31 14:53:09 | 2024-2025 | ₹ 4633.95  | ZYBISYS CONSULTING SERVICES LLP, #25, 4th B'Cross, 29th Main BTM 2ns Stage, Bangalore, Karnataka, India, 560076 | ZOM-1725096189855-120 |  Pending  | Pending  |
